vf_precinct_id,vf_precinct_county,vf_precinct_ward,vf_precinct_name,vf_precinct_code,vf_precinct_count
22574,BENEWAH,,St. Maries,9,521
22708,BLAINE,,Blaine - 006,6,271
22384,LATAH,,Moscow 05,05MOS,424
22118,NEZ PERCE,,Nez Perce - 02,2,433
22316,BONNEVILLE,,Bonneville - 09,9,508
22336,BONNEVILLE,,Bonneville - 05,5,569
22431,JEFFERSON,,Roberts,16,303
22173,ADA,,Ada - 1907,1907,887
22777,MADISON,,Madison - 017,17,137
22392,ONEIDA,,Oneida - 002,2,318
22891,BEAR LAKE,,Bern,6,45
22382,ADA,,Ada - 2102,2102,875
22383,BONNEVILLE,,Bonneville - 06,6,602
22559,BONNEVILLE,,Bonneville - 44,44,499
22733,BLAINE,,Blaine - 003,3,606
22756,IDAHO,,Harpster,15,151
22918,BENEWAH,,St. Joe,8,27
22689,CANYON,,Canyon - 28,28,491
22534,BONNEVILLE,,Bonneville - 50,50,512
22146,NEZ PERCE,,Nez Perce - 17,17,458
2244,ELMORE,,Mt. Home #8,MH #8,820
22165,ADA,,Ada - 1505,1505,672
22273,ADA,,Ada - 1510,1510,748
22269,ADA,,Ada - 2012,2012,775
22821,BONNER,,Priest River West City,PRWC,185
22815,MINIDOKA,,Rupert #2,8,412
22745,ELMORE,,Glenns Ferry,GF #1,467
22606,BONNER,,Dover,DOVR,221
22752,ELMORE,,Prairie,PR #1,38
22107,TWIN FALLS,,Buhl 1,BU001,366
22340,TWIN FALLS,,Hansen,HA001,487
22597,ADAMS,,Adams - 002,2,325
22122,NEZ PERCE,,Nez Perce - 10,10,311
22202,ADA,,Ada - 1407,1407,666
2251,ADA,,Ada - 2211,2211,727
22687,ADA,,Ada - 1804,1804,105
2240,BOISE,,Garden Valley,30,728
22565,CASSIA,,Jackson,115,119
22580,KOOTENAI,,Kootenai - 56,56,425
22782,JEFFERSON,,Lorenzo,8,138
22157,ADA,,Ada - 1411,1411,815
2256,ADA,,Ada - 1506,1506,783
22867,BONNER,,Careywood,CARW,343
22175,LATAH,,Moscow 18,18MOS,447
22736,ELMORE,,Mayfield,MF #1,110
22761,BONNEVILLE,,Bonneville - 58,58,443
22663,NEZ PERCE,,Nez Perce - 11,11,490
22900,LEWIS,,Reubens,6,25
22860,SHOSHONE,,Shoshone - 09,9,667
22908,ONEIDA,,Oneida - 005,5,60
22527,BLAINE,,Blaine - 005,5,540
22439,TWIN FALLS,,Twin Falls 13,TF013,499
22206,ADA,,Ada - 2112,2112,956
22865,KOOTENAI,,Kootenai - 12,12,300
22535,BINGHAM,,Fort Hall 20,20,362
22298,KOOTENAI,,Kootenai - 50,50,436
22347,TWIN FALLS,,Twin Falls 02,TF002,554
22458,ADA,,Ada - 1419,1419,710
22811,KOOTENAI,,Kootenai - 13,13,306
2230,ADA,,Ada - 1614,1614,852
2224,OWYHEE,,S Homedale,2,506
22636,BOUNDARY,,Bonners Ferry/Kootenai,1,529
22333,BONNEVILLE,,Bonneville - 59,59,453
2291,ADA,,Ada - 1813,1813,807
22438,ADA,,Ada - 2010,2010,778
22307,BINGHAM,,Shelley 14,14,511
22679,CLEARWATER,,Grangemont,14,59
22863,KOOTENAI,,Kootenai - 11,11,582
22265,ADA,,Ada - 2004,2004,787
22906,IDAHO,,Fenn,6,82
22582,FRANKLIN,,Preston 1,1,248
22746,MINIDOKA,,Rupert #3,9,272
22300,BANNOCK,,Pocatello 05,5,426
22132,JEFFERSON,,Rigby 1,11,323
22214,WASHINGTON,,West Weiser,2,262
2269,BONNER,,Sandpoint,SDPT,549
22388,BANNOCK,,Pocatello 40,40,255
22367,CANYON,,Canyon - 49,49,612
22881,IDAHO,,Lowell,20,64
22523,CLARK,,Clark - 003,3,71
22454,KOOTENAI,,Kootenai - 42,42,689
22444,FREMONT,,Fremont - 011,11,284
22640,KOOTENAI,,Kootenai - 14,14,652
22248,BINGHAM,,Blackfoot 1,1,539
22724,CASSIA,,Malta,116,167
22408,LATAH,,Moscow 15,15MOS,415
22635,KOOTENAI,,Kootenai - 30,30,707
2252,CANYON,,Canyon - 14,14,884
22530,TWIN FALLS,,Buhl 3,BU003,363
22803,KOOTENAI,,Kootenai - 48,48,477
22719,LEMHI,,Lemhi,8,153
223,JEFFERSON,,Rigby 4,14,519
22287,FRANKLIN,,Mapleton 11,11,139
22306,BINGHAM,,Riverside 17,17,448
2263,TWIN FALLS,,Twin Falls 22,TF022,443
2290,BONNEVILLE,,Bonneville - 57,57,628
22325,BINGHAM,,Firth 8,8,491
22305,BINGHAM,,Pingree 18,18,286
2271,ELMORE,,Mt. Home #7,MH #7,475
22826,LATAH,,Palouse 26,26PAL,153
2259,BONNEVILLE,,Bonneville - 27,27,550
2250,ADA,,Ada - 1704,1704,675
22149,POWER,,Power - 002,2,478
22540,FREMONT,,Fremont - 004,4,258
22225,FRANKLIN,,Dayton 8,8,224
22814,FRANKLIN,,Preston 2,2,289
22768,MADISON,,Madison - 003,3,479
22657,TWIN FALLS,,Murtaugh,MU001,205
22227,ADA,,Ada - 2110,2110,295
22754,LATAH,,Moscow 01,01MOS,78
226,BANNOCK,,Pocatello 38,38,362
22759,JEFFERSON,,Rigby 2,12,249
22566,CASSIA,,View,125,116
22601,LATAH,,Juliaetta 23,23JUL,229
22283,CANYON,,Canyon - 72,72,676
22436,BONNEVILLE,,Bonneville - 25,25,424
22210,ADA,,Ada - 2113,2113,631
22740,LEWIS,,W Kamiah,2,343
22394,BINGHAM,,Blackfoot 23,23,248
22872,BONNER,,Kelso,KELS,84
22155,ADA,,Ada - 1605,1605,840
22728,WASHINGTON,,East Weiser,6,180
2261,ELMORE,,Mt. Home #5,MH #5,543
22233,ADA,,Ada - 1601,1601,1099
22402,TWIN FALLS,,Twin Falls 11,TF011,463
22698,GEM,,12 Sweet-Montour,12-SW,260
22650,NEZ PERCE,,Nez Perce - 27,27,129
22501,CASSIA,,Starrahs Ferry,122,535
22385,ADA,,Ada - 1920,1920,386
22218,ADA,,Ada - 1413,1413,707
22315,JEFFERSON,,Rigby 3,13,1015
2294,ADA,,Ada - 1812,1812,841
22767,TETON,,Teton - 003,3,272
22625,BONNER,,Laclede,LACL,226
22200,ADA,,Ada - 1702,1702,843
22464,TWIN FALLS,,Twin Falls 14,TF014,527
22318,KOOTENAI,,Kootenai - 53,53,576
2212,CANYON,,Canyon - 60,60,854
22441,BANNOCK,,Chubbuck 56,56,483
22924,CLEARWATER,,Headquarters,10,13
22166,JEROME,,Southwest,10,553
22774,FREMONT,,Fremont - 002,2,293
22328,JEROME,,Southeast,9,274
22187,BANNOCK,,Pocatello 28,28,509
22769,LEMHI,,Junction,9,111
22264,BONNEVILLE,,Bonneville - 10,10,439
22910,SHOSHONE,,Shoshone - 13,13,25
22655,PAYETTE,,Payette - 007,7,149
221,BONNEVILLE,,Bonneville - 23,23,553
22505,BEAR LAKE,,Georgetown,11,214
22209,CANYON,,Canyon - 31,31,738
22852,SHOSHONE,,Shoshone - 04,4,187
22567,CANYON,,Canyon - 19,19,619
2267,IDAHO,,Glover,9,93
22637,NEZ PERCE,,Nez Perce - 06,6,527
22420,TWIN FALLS,,Twin Falls 25,TF025,398
22320,JEROME,,Bishop-Court,1,437
22274,ADA,,Ada - 1511,1511,627
22642,SHOSHONE,,Shoshone - 06,6,852
22277,ADA,,Ada - 2008,2008,1138
22418,BINGHAM,,Abserdeen 15,15,480
22448,PAYETTE,,Payette - 006,6,682
22433,BONNEVILLE,,Bonneville - 51,51,470
22268,CASSIA,,Burley 2,102,194
22199,CANYON,,Canyon - 02,2,358
22500,ADA,,Ada - 1814,1814,855
22850,NEZ PERCE,,Nez Perce - 05,5,328
22512,BEAR LAKE,,Montpelier 1,1,280
2253,CANYON,,Canyon - 18,18,481
22193,ADA,,Ada - 1615,1615,1026
22374,MADISON,,Madison - 015,15,452
22395,CANYON,,Canyon - 17,17,722
22131,TWIN FALLS,,Twin Falls 09,TF009,634
22699,GEM,,13 Ola,13-OL,65
2286,NEZ PERCE,,Nez Perce - 14,14,410
22564,LATAH,,Moscow 12,12MOS,508
22764,CASSIA,,Heglar-Yale,114,48
22720,CASSIA,,Springdale,121,295
22303,BANNOCK,,Pocatello 36,36,457
22281,ADA,,Ada - 1604,1604,758
22226,LATAH,,Moscow 07,07MOS,601
22288,BANNOCK,,Lava Hot Springs 64,64,369
22618,BONNER,,Airport,AIRP,477
2278,WASHINGTON,,Mineral,11,208
22747,LATAH,,Princeton 28,28PRI,220
22749,IDAHO,,Elk City,5,197
2226,ADA,,Ada - 2114,2114,992
22243,ADA,,Ada - 1709,1709,781
22819,CLEARWATER,,Pierce,12,214
22591,NEZ PERCE,,Nez Perce - 21,21,528
22757,LEWIS,,Craigmont,4,233
22690,ELMORE,,Mt. Home #1,MH #1,467
22437,JEFFERSON,,Lewisville,7,343
22263,GOODING,,7 Hagerman,P7,698
22610,BONNEVILLE,,Bonneville - 39,39,402
22115,ADA,,Ada - 1508,1508,806
2298,LATAH,,Moscow 11,11MOS,490
2257,BONNEVILLE,,Bonneville - 15,15,642
22541,BONNEVILLE,,Bonneville - 20,20,524
22603,CASSIA,,Albion,108,186
22159,ADA,,Ada - 2109,2109,793
22130,TWIN FALLS,,Twin Falls 18,TF018,463
22335,TWIN FALLS,,Twin Falls 05,TF005,453
22697,BONNEVILLE,,Bonneville - 53,53,627
22485,CARIBOU,,Soda 4,207,202
22758,BINGHAM,,Firth 7,7,512
22497,FREMONT,,Fremont - 005,5,233
22619,BONNER,,Cocolalla,COLA,234
22590,SHOSHONE,,Shoshone - 11,11,55
22503,BANNOCK,,Arimo 61,61,257
22329,BANNOCK,,Pocatello 43,43,538
22108,ADA,,Ada - 1805,1805,1242
2219,GEM,,02 North Emmett,02-NE,308
22148,BOISE,,Horseshoe Bend,40,543
22499,TWIN FALLS,,Filer 3,FI003,441
22622,BOUNDARY,,Naples,5,593
22806,IDAHO,,Slate Creek,23,75
2273,LATAH,,Troy 29,29TRO,634
22396,CARIBOU,,Soda 2,205,343
22341,BEAR LAKE,,Montpelier 3,3,256
22271,ADA,,Ada - 1803,1803,628
22456,BANNOCK,,Inkom 63,63,362
22496,BONNER,,Humbird,HUMB,580
2229,ADA,,Ada - 1712,1712,689
22630,KOOTENAI,,Kootenai - 46,46,802
22475,KOOTENAI,,Kootenai - 06,6,823
22536,TETON,,Teton - 001,1,526
22892,BEAR LAKE,,Geneva,10,41
22150,ADA,,Ada - 2115,2115,989
22847,KOOTENAI,,Kootenai - 15,15,721
22460,KOOTENAI,,Kootenai - 16,16,770
22478,CARIBOU,,Bancroft,3,245
22797,LINCOLN,,2 Shoshone,2,250
22293,LATAH,,Moscow 10,10MOS,445
22538,KOOTENAI,,Kootenai - 23,23,632
22359,MADISON,,Madison - 007,7,556
22517,ADA,,Ada - 2103,2103,591
22489,BONNEVILLE,,Bonneville - 43,43,584
22722,CUSTER,,Custer - 009,9,100
22548,TWIN FALLS,,Buhl 2,BU002,453
22665,NEZ PERCE,,Nez Perce - 24,24,386
22101,CANYON,,Canyon - 77,77,822
22257,ADA,,Ada - 1714,1714,957
22643,KOOTENAI,,Kootenai - 22,22,724
22242,JEROME,,Canyonside,2,877
22641,KOOTENAI,,Kootenai - 25,25,814
2249,ADA,,Ada - 1402,1402,561
2295,ADA,,Ada - 1915,1915,914
22237,BOUNDARY,,Valley View,7,515
22231,ADA,,Ada - 2201,2201,712
22260,ADA,,Ada - 1512,1512,636
2292,ADA,,Ada - 1706,1706,1020
22314,BONNEVILLE,,Bonneville - 11,11,448
22855,CARIBOU,,Freedom,10,33
2225,ADA,,Ada - 1801,1801,670
22152,CANYON,,Canyon - 78,78,1079
22275,JEFFERSON,,Clark,2,468
22898,LATAH,,Harvard 22,22HAR,119
22299,KOOTENAI,,Kootenai - 62,62,381
2277,BANNOCK,,Pocatello 06,6,506
2210,ADA,,Ada - 1503,1503,713
22481,TWIN FALLS,,Twin Falls 23,TF023,417
22184,CANYON,,Canyon - 10,10,889
22365,BINGHAM,,Groveland 22,22,295
22355,BINGHAM,,Shelley 13,13,514
22822,BINGHAM,,Riverside 24,24,233
22258,CANYON,,Canyon - 30,30,598
2246,BANNOCK,,Pocatello 26,26,437
22902,IDAHO,,Big Butte,1,35
22205,ADA,,Ada - 2204,2204,917
22442,CANYON,,Canyon - 51,51,671
22405,CANYON,,Canyon - 56,56,700
22704,LATAH,,Potlatch 27,27POT,453
22596,ADAMS,,Adams - 003,3,419
22413,BANNOCK,,Pocatello 15,15,385
22494,BANNOCK,,Swan Lake 68,68,36
22186,WASHINGTON,,Middle Weiser,5,239
22386,MADISON,,Madison - 010,10,235
22848,BEAR LAKE,,Bailey Creek,16,41
22133,KOOTENAI,,Kootenai - 34,34,733
22109,KOOTENAI,,Kootenai - 38,38,732
22917,LEMHI,,Mineral Hill,5,26
22419,BANNOCK,,Pocatello 35,35,387
22221,JEFFERSON,,Annis,1,160
22730,NEZ PERCE,,Nez Perce - 07,7,313
22338,BINGHAM,,Moreland 25,25,320
22276,CANYON,,Canyon - 81,81,948
22416,ADA,,Ada - 1415,1415,652
22519,TETON,,Teton - 002,2,434
22810,BUTTE,,Moore,3,290
22389,TWIN FALLS,,Twin Falls 06,TF006,407
22255,CANYON,,Canyon - 74,74,635
22518,MINIDOKA,,Heyburn #1,3,469
22620,BONNER,,Oden,ODEN,250
22516,BINGHAM,,Shelley West 21,21,493
22884,LEMHI,,North Fork,4,185
22864,KOOTENAI,,Kootenai - 70,70,322
22609,ADAMS,,Adams - 004,4,22
22473,BINGHAM,,Rockford 12,12,361
22741,BLAINE,,Blaine - 012,12,256
22262,BUTTE,,Arco 1,1,309
22667,ADA,,Ada - 1416,1416,692
22911,NEZ PERCE,,Nez Perce - 23,23,49
2270,NEZ PERCE,,Nez Perce - 18,18,363
22734,BOISE,,Idaho City,50,422
22556,ADA,,Ada - 2212,2212,622
22167,NEZ PERCE,,Nez Perce - 13,13,378
22753,BOISE,,Placerville,80,145
2247,BANNOCK,,Pocatello 23,23,398
2260,BANNOCK,,Chubbuck 53,53,583
2211,ADA,,Ada - 1502,1502,922
22802,WASHINGTON,,Eaton Hale,1,298
22621,KOOTENAI,,Kootenai - 61,61,789
22234,KOOTENAI,,Kootenai - 26,26,402
22236,ADA,,Ada - 1504,1504,1124
22858,KOOTENAI,,Kootenai - 27,27,402
22301,CARIBOU,,Soda 1,104,386
22164,NEZ PERCE,,Nez Perce - 01,1,414
2276,BANNOCK,,Pocatello 31,31,375
22138,ADA,,Ada - 1501,1501,983
22835,IDAHO,,Joseph,16,14
22851,SHOSHONE,,Shoshone - 03,3,448
22524,ADA,,Ada - 2206,2206,729
22639,KOOTENAI,,Kootenai - 04,4,483
22674,CLEARWATER,,Orofino 3,3,377
22571,ONEIDA,,Oneida - 001,1,374
22633,KOOTENAI,,Kootenai - 44,44,450
22563,ADA,,Ada - 1409,1409,695
22181,CANYON,,Canyon - 13,13,826
22790,OWYHEE,,Oreana,8,68
22521,CANYON,,Canyon - 43,43,264
22189,CANYON,,Canyon - 61,61,854
2218,GEM,,08 Letha,08-LT,428
2296,ADA,,Ada - 1507,1507,837
22780,JEFFERSON,,Labelle,6,325
22766,CARIBOU,,Wayan,9,21
22203,ADA,,Ada - 1901,1901,774
22229,ADA,,Ada - 2101,2101,1048
22921,LATAH,,Farmington 20,20FAR,14
22378,TWIN FALLS,,Twin Falls 20,TF020,501
22789,FREMONT,,Fremont - 003,3,216
22899,CUSTER,,Custer - 008,8,30
22480,ADA,,Ada - 2002,2002,1172
22696,BONNEVILLE,,Bonneville - 47,47,502
22573,BENEWAH,,Townsite,11,408
22482,CARIBOU,,Grace 1,1,374
22285,ADA,,Ada - 1509,1509,1250
22105,ADA,,Ada - 1513,1513,648
22748,BOISE,,Lowman,60,107
22224,ADA,,Ada - 2107,2107,617
22817,CLEARWATER,,Fraser,6,53
22666,ADA,,Ada - 1412,1412,261
22652,PAYETTE,,Payette - 009,9,580
22360,TWIN FALLS,,Buhl 5,BU005,393
22366,BINGHAM,,Springfield/Sterling 16,16,188
22547,PAYETTE,,Payette - 001,1,527
22284,ADA,,Ada - 2007,2007,870
22743,CANYON,,Canyon - 34,34,311
22886,BENEWAH,,Fernwood,5,184
2281,ADA,,Ada - 1606,1606,823
2299,ADA,,Ada - 1610,1610,1042
22880,IDAHO,,Keuterville,18,92
22363,BONNEVILLE,,Bonneville - 45,45,492
22731,TWIN FALLS,,Buhl 4,BU004,384
22337,BANNOCK,,Chubbuck 60,60,64
22428,MADISON,,Madison - 009,9,758
22629,KOOTENAI,,Kootenai - 09,9,839
22486,MADISON,,Madison - 008,8,350
22220,JEFFERSON,,Ririe,15,441
22791,CLEARWATER,,Orofino 5,5,366
22923,BONNEVILLE,,Bonneville - 56,56,24
22796,BUTTE,,Arco 2,2,196
22551,BOUNDARY,,Moyie,4,759
2214,ADA,,Ada - 1711,1711,703
22380,JEFFERSON,,Monteview,10,120
22688,GEM,,10 Brick,10-BK,307
2220,BONNER,,Blue Lake,BLUE,217
2241,BINGHAM,,Groveland 9,9,554
22914,CASSIA,,Sublett,123,19
22311,BINGHAM,,Blackfoot 6,6,470
22843,CUSTER,,Custer - 007,7,66
22195,ADA,,Ada - 1705,1705,806
22672,ADA,,Ada - 2013,2013,680
22502,CARIBOU,,Grace 2,2,214
2255,BONNEVILLE,,Bonneville - 01,1,563
22400,ADA,,Ada - 1514,1514,568
22682,VALLEY,,Payette,5,501
22249,CANYON,,Canyon - 08,8,598
22818,CLEARWATER,,Orofino 1,1,355
22404,CANYON,,Canyon - 54,54,751
22163,IDAHO,,Kooskia,19,625
22272,BONNEVILLE,,Bonneville - 40,40,488
22222,TWIN FALLS,,Twin Falls 17,TF017,505
22153,ADA,,Ada - 1811,1811,754
22616,BONNER,,Colburn,COLB,561
22888,LEWIS,,Mohler,7,25
22675,CLEARWATER,,Teakean,8,105
22587,BONNER,,Washington,WASH,789
22669,GEM,,07 Lincoln,07-LN,441
22290,CANYON,,Canyon - 35,35,629
22885,CUSTER,,Custer - 004,4,190
2288,ADA,,Ada - 1715,1715,1053
22302,BINGHAM,,Moreland 11,11,289
228,BANNOCK,,Pocatello 11,11,466
22230,GOODING,,5 Wendell Rural,P5,484
22219,ADA,,Ada - 2111,2111,837
22465,TWIN FALLS,,Twin Falls 15,TF015,343
22607,ADAMS,,Adams - 001,1,114
22831,ADA,,Ada - 2213,2213,56
22820,BONNER,,West Priest River Bench,WPRB,206
2236,ADA,,Ada - 1703,1703,891
22870,CASSIA,,Oakley 1,117,160
22345,BONNEVILLE,,Bonneville - 41,41,608
22727,BLAINE,,Blaine - 015,15,230
22252,ADA,,Ada - 1414,1414,1084
22583,BENEWAH,,Emida,4,126
22659,ADA,,Ada - 2214,2214,549
2238,PAYETTE,,Payette - 003,3,505
22543,BONNER,,Oldtown,OLDT,614
22154,ADA,,Ada - 1707,1707,693
22430,TWIN FALLS,,Filer 2,FI002,397
22429,FRANKLIN,,Worm Creek,17,124
22125,ADA,,Ada - 1410,1410,764
22168,IDAHO,,Clearwater,2,163
22246,JEROME,,Shepherd - View,8,570
22143,ADA,,Ada - 1609,1609,754
22495,CUSTER,,Custer - 005,5,206
22491,ELMORE,,Mt. Home #4,MH #4,488
2235,ADA,,Ada - 1810,1810,695
22110,FREMONT,,Fremont - 009,9,225
22912,IDAHO,,Idaho - 027,27,23
22103,ADA,,Ada - 1818,1818,819
22874,BENEWAH,,Benewah,1,109
22244,TWIN FALLS,,Twin Falls 24,TF024,371
22256,ADA,,Ada - 2009,2009,1381
22651,NEZ PERCE,,Nez Perce - 20,20,480
22196,ADA,,Ada - 2209,2209,733
22600,ADAMS,,Adams - 005,5,526
22142,ADA,,Ada - 1806,1806,858
22332,BINGHAM,,Blackfoot 3,3,487
22371,BONNEVILLE,,Bonneville - 08,8,485
22116,ADA,,Ada - 1909,1909,874
2239,ADA,,Ada - 1914,1914,800
22100,CANYON,,Canyon - 73,73,952
22920,LEWIS,,Slickpoo,8,4
22141,KOOTENAI,,Kootenai - 17,17,462
22190,CANYON,,Canyon - 50,50,577
22292,KOOTENAI,,Kootenai - 41,41,574
22162,BONNEVILLE,,Bonneville - 52,52,680
22313,GOODING,,6 Bliss,P6,186
22588,KOOTENAI,,Kootenai - 68,68,443
22594,CUSTER,,Custer - 001,1,382
22677,LATAH,,Linden 25,25LIN,40
22409,CUSTER,,Custer - 011,11,152
22862,BEAR LAKE,,Paris,13,171
22450,KOOTENAI,,Kootenai - 39,39,1050
22192,ADA,,Ada - 1710,1710,550
22626,KOOTENAI,,Kootenai - 37,37,457
22123,CANYON,,Canyon - 55,55,787
22353,BINGHAM,,Wapello 19,19,225
22825,IDAHO,,Grangeville 3,12,286
22161,IDAHO,,Woodland,26,109
22634,IDAHO,,Ferdinand,7,125
22895,FRANKLIN,,Mink Creek 12,12,82
22693,ADA,,Ada - 2205,2205,402
